model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Model Y,Standard Range,Deep Blue Metallic,Electric,Automatic,52200.32,2023-12-05,2024-02-26,Texas,294.6,0,95.4,1.2,7,147.8,536
Tesla Cybertruck,Standard Range,Ultra Red,Electric,Automatic,75597.17,2023-07-09,2023-09-16,Florida,371.0,0,80.8,5.2,5,141.6,513
Tesla Model Y,Long Range,Pearl White,Electric,Automatic,47453.88,2024-05-07,2024-06-22,Colorado,286.0,0,60.9,6.3,7,148.8,835
Tesla Model S,Standard Range,Ultra Red,Electric,Automatic,112238.21,2024-10-07,2024-11-22,New Jersey,369.6,0,63.8,3.9,5,169.4,529
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,54206.26,2023-04-01,2023-05-11,Arizona,388.8,0,61.5,6.9,5,148.8,433
Tesla Model S,Performance,Ultra Red,Electric,Automatic,106338.19,2024-03-07,2024-05-16,Florida,343.2,0,96.2,10.0,5,158.2,486
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,206926.18,2025-02-15,2025-04-17,Arizona,548.1,0,87.6,1.1,5,152.2,609
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,46735.97,2024-03-15,2024-04-18,Massachusetts,307.9,0,77.7,11.0,5,165.2,634
Tesla Model 3,Plaid,Stealth Grey,Electric,Automatic,51490.88,2023-12-24,2024-02-01,Florida,320.2,0,93.2,6.9,5,145.3,456
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,51778.17,2023-08-09,2023-09-05,Florida,290.6,0,82.5,1.6,5,154.7,611
Tesla Model S,Standard Range,Solid Black,Electric,Automatic,77286.6,2024-07-07,2024-09-11,Maryland,382.1,0,98.9,5.1,5,142.3,537
Tesla Roadster,Long Range,Midnight Silver Metallic,Electric,Automatic,228929.11,2024-06-01,2024-07-06,Maryland,569.0,0,69.8,3.6,5,152.7,507
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,91969.04,2023-08-04,2023-10-12,Maryland,360.5,0,78.7,1.6,5,141.5,472
Tesla Roadster,Plaid,Stealth Grey,Electric,Automatic,222902.15,2024-07-30,2024-10-26,Virginia,590.8,0,91.4,7.3,5,168.2,539
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,64264.11,2025-02-01,2025-04-07,Maryland,282.2,0,90.3,0.8,5,156.2,562
Tesla Model S,Standard Range,Ultra Red,Electric,Automatic,115225.85,2024-02-03,2024-03-15,New Jersey,393.4,0,66.6,7.9,5,160.8,490
Tesla Cybertruck,Standard Range,Deep Blue Metallic,Electric,Automatic,76204.54,2024-01-01,2024-02-13,Colorado,426.4,0,76.7,1.0,5,152.8,557
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,123665.27,2024-08-16,2024-10-14,Massachusetts,305.6,0,98.6,5.6,7,150.2,473
Tesla Roadster,Performance,Midnight Silver Metallic,Electric,Automatic,225035.07,2023-08-30,2023-10-30,New York,479.5,0,77.4,1.0,5,157.9,447
Tesla Model S,Long Range,Deep Blue Metallic,Electric,Automatic,95993.22,2023-08-22,2023-10-25,Virginia,389.1,0,97.6,11.6,5,151.9,597
Tesla Cybertruck,Long Range,Ultra Red,Electric,Automatic,79144.16,2023-04-14,2023-04-23,New York,253.0,0,69.8,3.9,5,141.8,573
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,237826.78,2023-09-12,2023-11-24,Illinois,588.0,0,82.1,4.7,5,161.6,538
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,236449.35,2023-08-17,2023-09-23,Colorado,584.3,0,91.6,7.8,5,167.8,554
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,49659.91,2024-04-05,2024-07-04,Maryland,283.5,0,92.4,8.6,7,146.1,509
Tesla Model S,Standard Range,Pearl White,Electric,Automatic,87195.73,2023-04-25,2023-05-17,New Jersey,341.7,0,91.7,5.4,5,165.6,647
Tesla Roadster,Long Range,Solid Black,Electric,Automatic,222458.67,2023-10-09,2023-10-19,Florida,545.8,0,76.7,5.0,5,143.6,470
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,241567.15,2023-10-31,2024-01-03,Washington,432.9,0,65.0,5.4,5,144.7,621
Tesla Roadster,Standard Range,Ultra Red,Electric,Automatic,214999.43,2023-05-31,2023-06-26,Texas,483.3,0,65.0,8.4,5,144.7,503
Tesla Cybertruck,Long Range,Solid Black,Electric,Automatic,67079.53,2023-05-19,2023-07-10,Virginia,492.5,0,89.4,8.4,5,161.0,530
Tesla Roadster,Standard Range,Ultra Red,Electric,Automatic,244367.31,2024-12-18,2025-03-04,California,542.3,0,77.8,3.4,5,140.9,517
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,67575.96,2023-10-25,2023-11-22,New York,282.2,0,85.1,5.2,7,141.7,690
Tesla Model Y,Plaid,Red Multi-Coat,Electric,Automatic,61180.37,2023-08-04,2023-08-21,New York,294.2,0,61.5,10.8,7,161.6,668
Tesla Model S,Long Range,Stealth Grey,Electric,Automatic,101712.53,2024-10-22,2024-11-21,Arizona,345.4,0,73.8,9.4,5,144.7,580
Tesla Model 3,Standard Range,Midnight Silver Metallic,Electric,Automatic,42983.26,2024-09-19,2024-12-10,Oregon,268.4,0,99.0,7.0,5,147.5,450
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,105440.24,2023-05-12,2023-05-21,Arizona,342.2,0,68.6,10.5,5,143.4,576
Tesla Model X,Plaid,Pearl White,Electric,Automatic,93303.84,2023-07-11,2023-09-04,New York,322.7,0,83.4,4.1,7,159.3,738
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,137912.6,2024-06-16,2024-06-19,Connecticut,344.1,0,88.1,1.7,7,150.9,656
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,121208.09,2023-08-08,2023-10-15,Washington,311.5,0,77.1,4.4,7,162.6,574
Tesla Model X,Standard Range,Stealth Grey,Electric,Automatic,99299.59,2023-12-23,2024-02-16,Nevada,340.7,0,75.4,0.9,7,149.4,506
Tesla Model X,Standard Range,Pearl White,Electric,Automatic,112736.94,2024-05-04,2024-05-29,Florida,335.4,0,80.9,8.9,7,154.2,604
Tesla Cybertruck,Long Range,Ultra Red,Electric,Automatic,50871.79,2024-01-09,2024-02-22,New Jersey,473.2,0,66.3,1.9,5,165.1,540
Tesla Model S,Performance,Pearl White,Electric,Automatic,113571.17,2024-05-16,2024-08-01,Arizona,389.3,0,72.9,1.3,5,145.6,543
Tesla Model Y,Plaid,Solid Black,Electric,Automatic,45027.7,2024-09-05,2024-12-03,Massachusetts,316.5,0,89.1,2.7,7,156.6,564
Tesla Model S,Plaid,Solid Black,Electric,Automatic,125023.14,2024-02-17,2024-05-01,Colorado,399.1,0,79.5,9.3,5,156.6,485
Tesla Model Y,Plaid,Red Multi-Coat,Electric,Automatic,61902.71,2023-12-20,2024-03-15,Arizona,281.2,0,90.6,7.4,7,148.5,702
Tesla Model S,Long Range,Deep Blue Metallic,Electric,Automatic,95010.4,2023-11-12,2023-11-24,Massachusetts,389.0,0,73.6,11.9,5,162.2,616
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,117437.91,2023-08-10,2023-11-08,Connecticut,394.7,0,88.4,12.0,5,162.0,432
Tesla Cybertruck,Long Range,Ultra Red,Electric,Automatic,65498.09,2023-10-18,2023-10-27,Texas,492.7,0,75.4,6.6,5,168.1,607
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,45211.68,2023-08-17,2023-10-06,New York,323.7,0,90.5,1.0,7,154.1,785
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,88281.87,2023-07-13,2023-08-23,Arizona,329.1,0,68.6,10.1,7,152.4,850
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,45713.3,2023-12-09,2024-01-10,Washington,303.5,0,75.5,9.2,5,163.9,434
Tesla Model S,Standard Range,Solid Black,Electric,Automatic,89214.1,2023-12-21,2024-01-13,Arizona,377.3,0,85.3,6.8,5,165.9,611
Tesla Model Y,Long Range,Stealth Grey,Electric,Automatic,53225.09,2025-02-21,2025-04-26,Colorado,320.3,0,71.0,6.6,7,159.7,758
Tesla Model Y,Plaid,Midnight Silver Metallic,Electric,Automatic,44111.33,2023-10-27,2024-01-18,Oregon,265.7,0,87.7,6.3,7,160.6,431
Tesla Cybertruck,Performance,Midnight Silver Metallic,Electric,Automatic,64526.57,2024-07-11,2024-09-13,Virginia,374.9,0,84.7,11.5,5,142.9,600
Tesla Model Y,Plaid,Solid Black,Electric,Automatic,63788.92,2024-01-27,2024-03-25,Massachusetts,269.9,0,64.5,10.0,7,154.8,855
Tesla Model S,Plaid,Solid Black,Electric,Automatic,79828.17,2023-09-16,2023-11-24,Texas,346.0,0,62.1,0.7,5,162.1,442
Tesla Roadster,Plaid,Solid Black,Electric,Automatic,227628.79,2023-04-17,2023-06-24,Oregon,559.9,0,73.8,9.1,5,145.2,537
Tesla Model Y,Performance,Pearl White,Electric,Automatic,55100.09,2024-05-18,2024-06-20,Colorado,317.1,0,87.2,0.8,7,141.5,581
Tesla Model X,Standard Range,Midnight Silver Metallic,Electric,Automatic,139250.79,2023-06-18,2023-09-08,Florida,329.1,0,81.3,9.8,7,158.9,652
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,117008.91,2024-06-15,2024-06-24,Arizona,334.7,0,63.4,7.4,7,163.6,538
Tesla Model X,Long Range,Ultra Red,Electric,Automatic,113717.61,2024-08-23,2024-11-20,California,309.9,0,62.0,2.8,7,158.5,530
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,77040.0,2024-09-09,2024-12-07,Florida,268.2,0,78.0,6.0,5,150.5,540
Tesla Model S,Plaid,Solid Black,Electric,Automatic,85815.88,2024-12-09,2025-02-23,Colorado,388.3,0,60.6,8.1,5,142.4,555
Tesla Model S,Performance,Midnight Silver Metallic,Electric,Automatic,104594.97,2024-06-12,2024-07-26,Florida,330.4,0,94.0,2.3,5,160.2,603
Tesla Model 3,Long Range,Midnight Silver Metallic,Electric,Automatic,45236.12,2024-06-25,2024-09-20,Illinois,314.2,0,80.5,6.4,5,151.8,463
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,95249.55,2025-03-05,2025-03-08,Connecticut,388.7,0,70.2,3.4,5,145.9,631
Tesla Cybertruck,Standard Range,Stealth Grey,Electric,Automatic,50729.26,2023-10-31,2023-12-05,Washington,355.2,0,96.6,4.8,5,143.5,619
Tesla Model S,Long Range,Solid Black,Electric,Automatic,127318.56,2024-07-14,2024-10-05,Colorado,324.1,0,91.7,7.7,5,166.2,536
Tesla Model X,Long Range,Solid Black,Electric,Automatic,98388.89,2025-01-27,2025-01-31,Oregon,338.1,0,88.5,0.8,7,167.4,726
Tesla Model 3,Standard Range,Red Multi-Coat,Electric,Automatic,45884.84,2023-03-25,2023-04-09,Washington,287.0,0,95.3,10.7,5,141.0,627
Tesla Model S,Plaid,Pearl White,Electric,Automatic,103450.9,2023-11-02,2023-12-02,Florida,384.3,0,93.5,3.2,5,165.0,467
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,40180.63,2025-03-01,2025-04-17,Virginia,285.5,0,82.8,7.1,5,162.3,489
Tesla Roadster,Performance,Solid Black,Electric,Automatic,209447.05,2024-07-27,2024-10-20,Arizona,477.9,0,96.6,4.9,5,159.7,428
Tesla Model S,Performance,Solid Black,Electric,Automatic,104901.48,2024-06-10,2024-06-24,California,399.1,0,79.7,9.8,5,168.6,448
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,111078.49,2024-09-30,2024-11-11,Connecticut,305.8,0,60.1,9.6,7,159.9,786
Tesla Cybertruck,Standard Range,Solid Black,Electric,Automatic,52959.07,2024-11-13,2025-01-08,Virginia,485.9,0,88.8,4.9,5,157.5,556
Tesla Cybertruck,Long Range,Pearl White,Electric,Automatic,72126.43,2024-10-23,2024-12-14,Illinois,411.4,0,95.0,2.1,5,148.5,439
Tesla Model X,Long Range,Solid Black,Electric,Automatic,128088.79,2023-11-17,2024-01-12,Virginia,331.3,0,85.5,9.4,7,146.3,526
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,44644.51,2023-08-19,2023-11-12,Florida,331.9,0,96.4,9.5,5,156.0,427
Tesla Model 3,Standard Range,Solid Black,Electric,Automatic,47144.53,2023-11-25,2024-02-23,Texas,294.6,0,92.4,2.6,5,144.4,511
Tesla Cybertruck,Standard Range,Ultra Red,Electric,Automatic,73446.41,2023-09-01,2023-11-22,New York,460.1,0,86.7,5.2,5,158.6,493
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,90576.43,2023-04-29,2023-06-13,Colorado,306.6,0,66.5,10.9,7,151.7,589
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,55279.43,2024-09-01,2024-10-27,Massachusetts,303.7,0,67.1,4.7,5,163.1,438
Tesla Roadster,Performance,Solid Black,Electric,Automatic,234894.9,2023-09-16,2023-09-20,Virginia,501.9,0,70.3,6.8,5,149.3,640
Tesla Model S,Performance,Stealth Grey,Electric,Automatic,111697.01,2024-12-25,2025-03-15,Connecticut,346.2,0,85.5,2.7,5,158.6,571
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,71713.78,2024-11-07,2024-11-20,Arizona,356.4,0,93.7,6.5,5,143.8,629
Tesla Model 3,Performance,Midnight Silver Metallic,Electric,Automatic,46083.43,2024-05-15,2024-06-25,Arizona,296.5,0,75.2,9.1,5,161.9,598
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,66619.19,2023-12-29,2024-01-14,Texas,324.6,0,94.5,6.4,7,156.0,848
Tesla Cybertruck,Long Range,Ultra Red,Electric,Automatic,74471.62,2024-03-30,2024-05-27,Nevada,493.2,0,87.4,3.3,5,159.7,647
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,40598.1,2024-05-13,2024-08-02,California,291.3,0,69.8,10.4,5,146.8,515
Tesla Model X,Performance,Midnight Silver Metallic,Electric,Automatic,130949.67,2024-03-05,2024-06-02,Colorado,319.4,0,99.7,4.5,7,147.7,718
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,97812.0,2025-03-03,2025-03-12,Illinois,348.0,0,95.2,8.0,7,157.1,872
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,41677.42,2024-06-03,2024-08-04,Oregon,328.9,0,65.7,8.0,5,164.9,507
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,51195.41,2025-02-02,2025-03-06,Virginia,328.7,0,83.2,2.3,7,167.7,790
Tesla Cybertruck,Performance,Midnight Silver Metallic,Electric,Automatic,77318.06,2023-03-31,2023-06-28,New York,396.8,0,83.1,10.3,5,142.7,490
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,76442.7,2025-01-17,2025-03-18,Illinois,381.4,0,99.8,6.4,5,160.5,596
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,69638.04,2024-05-14,2024-06-15,Florida,316.9,0,94.3,5.1,7,148.2,687
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,244335.89,2024-11-04,2024-12-01,New York,458.7,0,68.6,11.7,5,156.3,650
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,99376.01,2024-03-07,2024-06-04,Arizona,387.0,0,100.0,0.7,5,158.2,636
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,46757.16,2023-05-27,2023-07-12,Colorado,304.7,0,64.2,3.1,5,162.6,455
Tesla Roadster,Performance,Ultra Red,Electric,Automatic,220352.09,2024-06-15,2024-06-19,California,428.6,0,81.1,11.5,5,163.6,583
Tesla Cybertruck,Standard Range,Midnight Silver Metallic,Electric,Automatic,68411.91,2023-04-17,2023-06-02,Maryland,338.8,0,69.5,0.9,5,167.8,492
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,44997.0,2024-05-01,2024-05-28,Nevada,318.0,0,99.3,4.4,7,144.9,772
Tesla Model S,Long Range,Pearl White,Electric,Automatic,102609.75,2023-04-03,2023-06-03,California,379.4,0,76.7,2.6,5,157.8,618
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,108111.12,2023-10-22,2023-11-28,New York,342.2,0,88.5,8.3,5,151.0,521
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,121529.72,2023-08-30,2023-09-24,Illinois,312.3,0,67.2,0.5,7,160.3,461
Tesla Model 3,Plaid,Pearl White,Electric,Automatic,46009.97,2023-12-31,2024-02-08,Illinois,284.6,0,90.6,5.9,5,146.6,478
Tesla Model Y,Long Range,Stealth Grey,Electric,Automatic,44373.41,2025-01-08,2025-01-09,New York,282.0,0,89.5,11.9,7,150.1,511
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,48088.63,2024-08-16,2024-10-23,California,325.0,0,88.3,4.5,5,163.8,562
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,47639.18,2024-01-25,2024-04-18,Oregon,287.0,0,81.3,6.2,5,149.0,604
Tesla Model S,Long Range,Deep Blue Metallic,Electric,Automatic,88327.89,2024-11-01,2025-01-01,Illinois,349.6,0,78.4,10.9,5,150.2,453
Tesla Model X,Long Range,Red Multi-Coat,Electric,Automatic,96230.12,2024-03-04,2024-03-23,California,332.6,0,91.6,3.3,7,163.4,643
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,41403.89,2023-09-23,2023-11-20,Oregon,275.5,0,78.7,10.1,5,160.4,514
Tesla Model X,Plaid,Pearl White,Electric,Automatic,129122.7,2024-11-02,2024-12-14,Connecticut,339.7,0,68.2,10.0,7,142.1,828
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,43865.96,2025-02-27,2025-03-23,New York,284.6,0,91.0,6.7,5,144.3,640
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,114149.93,2023-04-08,2023-07-02,Arizona,344.3,0,89.8,10.0,5,155.2,614
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,70016.34,2024-07-31,2024-10-12,Illinois,455.7,0,67.3,10.3,5,159.1,537
Tesla Roadster,Performance,Solid Black,Electric,Automatic,218320.04,2023-07-28,2023-10-22,Colorado,583.7,0,78.3,1.6,5,165.8,439
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,57790.39,2024-03-12,2024-03-25,Texas,286.1,0,77.2,7.4,7,151.2,736
Tesla Model S,Plaid,Red Multi-Coat,Electric,Automatic,107659.81,2024-11-05,2024-11-19,Nevada,366.3,0,78.0,9.2,5,145.5,487
Tesla Roadster,Long Range,Solid Black,Electric,Automatic,237439.1,2024-07-29,2024-09-29,Nevada,461.3,0,98.2,0.7,5,148.8,469
Tesla Cybertruck,Plaid,Red Multi-Coat,Electric,Automatic,57875.82,2024-06-17,2024-08-18,Colorado,483.8,0,69.9,8.7,5,162.1,644
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,44926.63,2024-05-09,2024-06-22,Arizona,304.5,0,86.7,3.6,7,142.8,497
