model,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,seating_capacity,ground_clearance,boot_space
Porsche 911,Solid Black,Oil,Automatic,201409.73,2025-01-16,2025-04-01,German,300.9,6,149.0,427
Ferrari SF90,Pearl White,Oil,Automatic,468833.5,2024-07-19,2024-09-09,Nevada,377.2,6,154.4,598
Audi RS7,Solid Black,Diesel,Automatic,135996.34,2025-04-04,2025-04-19,Washington,285.5,6,161.8,485
Porsche 911,Deep Blue Metallic,Diesel,Automatic,198280.3,2023-10-26,2023-10-28,Colorado,306.2,6,162.5,505
Alpine A110,Deep Blue Metallic,Oil,Automatic,83807.69,2024-11-05,2024-12-05,South Korea,190.6,6,142.5,623
Alpine A110,Deep Blue Metallic,Oil,Automatic,74460.1,2023-09-08,2023-11-03,Japan,214.3,6,151.2,450
Mercedes-AMG GT,Stealth Grey,Diesel,Automatic,126741.43,2024-01-27,2024-02-07,Massachusetts,327.8,6,165.6,474
Audi RS e-tron GT,Ultra Red,Diesel,Automatic,159408.91,2025-03-29,2025-04-10,Maryland,361.6,6,167.9,557
Lexus LC 500,Midnight Silver Metallic,Oil,Automatic,95265.17,2025-05-17,2025-06-05,German,318.9,6,159.1,433
Audi RS e-tron GT,Deep Blue Metallic,Diesel,Automatic,152411.74,2025-01-28,2025-02-09,China,394.9,6,161.4,493
BMW M5 CS,Deep Blue Metallic,Diesel,Automatic,161407.33,2024-06-01,2024-06-17,Washington,282.4,6,148.4,540
Maserati Ghibli,Deep Blue Metallic,Diesel,Automatic,82687.38,2024-04-02,2024-04-25,Washington,255.8,6,144.8,441
Bentley Continental GT,Solid Black,Diesel,Automatic,227169.86,2023-10-26,2023-11-08,Virginia,280.5,6,166.9,491
Lexus LC 500,Deep Blue Metallic,Oil,Automatic,96538.22,2023-11-06,2023-12-26,Massachusetts,314.1,6,151.4,475
Nissan GT-R,Solid Black,Diesel,Automatic,135081.36,2023-12-23,2024-03-17,Italy,292.5,6,152.1,534
Audi RS7,Stealth Grey,Diesel,Automatic,129865.37,2024-08-09,2024-10-18,German,286.9,6,155.2,564
Alpine A110,Solid Black,Oil,Automatic,83123.18,2023-12-03,2024-02-05,Connecticut,201.3,6,165.7,539
Porsche 911,Stealth Grey,Oil,Automatic,174536.16,2024-08-05,2024-09-13,France,321.8,6,155.7,617
Audi RS e-tron GT,Stealth Grey,Diesel,Automatic,172593.29,2024-04-24,2024-06-13,Nevada,397.4,6,157.2,551
Bugatti Chiron,Midnight Silver Metallic,Diesel,Automatic,2638515.05,2024-02-29,2024-05-24,Massachusetts,370.6,6,143.0,530
Lotus Emira,Solid Black,Oil,Automatic,94604.45,2023-11-21,2024-01-12,Connecticut,273.5,6,145.1,601
Lexus LC 500,Red Multi-Coat,Oil,Automatic,98971.61,2023-12-06,2024-01-08,Virginia,281.2,6,141.5,601
BMW M5 CS,Midnight Silver Metallic,Diesel,Automatic,167261.66,2024-11-26,2025-01-15,Nevada,280.0,6,159.1,615
Audi RS e-tron GT,Midnight Silver Metallic,Oil,Automatic,174931.14,2024-08-22,2024-09-13,Italy,387.9,6,153.5,527
McLaren 720S,Solid Black,Diesel,Automatic,321060.81,2023-09-26,2023-12-11,Massachusetts,325.5,6,146.9,428
McLaren 720S,Midnight Silver Metallic,Oil,Automatic,334764.49,2024-01-17,2024-04-12,Connecticut,347.7,6,153.4,622
Porsche Cayman GT4,Stealth Grey,Diesel,Automatic,121947.43,2024-12-23,2025-01-16,South Korea,268.0,6,163.4,583
Rolls-Royce Ghost,Stealth Grey,Oil,Automatic,382045.7,2023-06-15,2023-09-04,German,342.1,6,164.8,454
Rolls-Royce Ghost,Pearl White,Diesel,Automatic,392141.59,2023-09-03,2023-09-07,Colorado,365.1,6,157.8,617
Alpine A110,Pearl White,Oil,Automatic,65430.81,2023-12-28,2024-02-22,German,181.2,6,167.5,638
Bugatti Chiron,Pearl White,Oil,Automatic,2829374.67,2024-05-16,2024-07-16,Massachusetts,373.1,6,166.3,605
Rolls-Royce Ghost,Deep Blue Metallic,Oil,Automatic,361142.73,2024-06-06,2024-06-13,Maryland,332.7,6,152.0,518
BMW M5 CS,Midnight Silver Metallic,Oil,Automatic,141755.86,2024-05-04,2024-05-15,Massachusetts,280.2,6,147.4,452
Mercedes-AMG GT,Red Multi-Coat,Oil,Automatic,134095.15,2024-11-14,2024-12-19,Washington,322.8,6,150.3,496
Koenigsegg Jesko,Deep Blue Metallic,Diesel,Automatic,3052785.9,2024-09-14,2024-12-09,Connecticut,375.7,6,146.6,506
Jaguar F-Type,Solid Black,Diesel,Automatic,80265.91,2024-10-10,2024-11-23,Italy,306.0,6,162.9,645
BMW M8,Deep Blue Metallic,Diesel,Automatic,146437.11,2024-01-26,2024-03-07,New York,313.9,6,140.8,646
McLaren 720S,Solid Black,Oil,Automatic,302888.3,2023-11-10,2023-12-01,Nevada,319.5,6,158.8,637
Lotus Emira,Solid Black,Oil,Automatic,91142.35,2024-09-19,2024-09-29,New Jersey,250.4,6,149.0,576
Ferrari SF90,Ultra Red,Diesel,Automatic,503900.29,2025-04-26,2025-05-17,New York,343.7,6,160.8,536
Pagani Huayra,Stealth Grey,Oil,Automatic,3117005.53,2023-11-19,2023-12-21,France,362.3,6,143.0,650
Alpine A110,Ultra Red,Oil,Automatic,68144.82,2025-05-19,2025-06-23,German,219.8,6,153.9,533
Porsche 911,Deep Blue Metallic,Diesel,Automatic,233721.51,2024-10-28,2024-12-30,Connecticut,294.1,6,145.4,445
Porsche Cayman GT4,Ultra Red,Diesel,Automatic,113389.48,2023-08-23,2023-09-01,German,257.3,6,166.6,612
Lotus Emira,Pearl White,Diesel,Automatic,91812.1,2023-08-23,2023-11-05,Connecticut,268.8,6,166.0,514
Jaguar F-Type,Deep Blue Metallic,Oil,Automatic,94418.29,2023-07-27,2023-10-05,New Jersey,303.4,6,145.2,456
Jaguar F-Type,Red Multi-Coat,Diesel,Automatic,83043.97,2024-11-05,2024-11-16,South Korea,295.7,6,147.9,436
Range Rover Sport,Deep Blue Metallic,Oil,Automatic,135464.59,2023-09-12,2023-10-14,Massachusetts,281.6,6,165.8,458
Koenigsegg Jesko,Solid Black,Diesel,Automatic,3013223.45,2024-09-21,2024-12-16,New Jersey,377.3,6,163.0,604
Lotus Emira,Stealth Grey,Oil,Automatic,100830.58,2025-01-08,2025-02-15,Connecticut,246.0,6,168.8,459
Lexus LC 500,Red Multi-Coat,Diesel,Automatic,108489.27,2025-05-19,2025-08-12,German,317.3,6,164.9,629
Bugatti Chiron,Pearl White,Oil,Automatic,2970664.55,2023-08-14,2023-09-20,New York,404.9,6,152.2,437
Koenigsegg Jesko,Solid Black,Diesel,Automatic,3140373.59,2024-05-18,2024-05-28,Washington,352.7,6,146.5,544
Aston Martin DBS,Red Multi-Coat,Oil,Automatic,328375.92,2025-04-02,2025-05-16,Maryland,294.9,6,164.4,625
Bugatti Chiron,Solid Black,Oil,Automatic,2843404.09,2024-04-28,2024-07-21,Washington,414.2,6,152.4,444
Lotus Emira,Deep Blue Metallic,Diesel,Automatic,101977.63,2023-12-28,2024-02-16,New Jersey,260.4,6,164.1,430
BMW M5 CS,Ultra Red,Diesel,Automatic,142422.78,2024-11-03,2024-11-26,New York,307.9,6,148.1,510
Audi RS e-tron GT,Stealth Grey,Diesel,Automatic,174898.36,2023-10-10,2023-11-25,Maryland,378.6,6,159.4,550
Mercedes-AMG GT,Ultra Red,Diesel,Automatic,132108.2,2023-12-15,2023-12-25,Nevada,299.7,6,149.0,514
Lotus Emira,Red Multi-Coat,Oil,Automatic,93236.79,2023-11-16,2023-11-18,France,273.3,6,144.2,639
Bugatti Chiron,Midnight Silver Metallic,Diesel,Automatic,2523913.92,2025-04-29,2025-07-15,Nevada,354.8,6,162.2,590
Jaguar F-Type,Pearl White,Diesel,Automatic,84493.14,2024-04-08,2024-07-01,South Korea,289.4,6,166.9,566
Lotus Emira,Pearl White,Diesel,Automatic,90696.96,2023-05-25,2023-07-17,Connecticut,258.8,6,142.8,606
Pagani Huayra,Deep Blue Metallic,Oil,Automatic,2884692.94,2025-02-04,2025-02-08,New Jersey,349.7,6,143.9,473
BMW M5 CS,Pearl White,Oil,Automatic,162814.61,2024-03-21,2024-03-26,Japan,282.3,6,154.4,556
Porsche 911,Pearl White,Oil,Automatic,145028.84,2023-12-19,2024-01-18,France,333.6,6,153.7,583
Lotus Emira,Red Multi-Coat,Diesel,Automatic,98363.53,2024-10-22,2024-12-16,China,269.8,6,145.4,627
Lotus Emira,Pearl White,Diesel,Automatic,88078.3,2024-12-24,2025-03-01,German,237.4,6,142.3,432
Audi RS7,Solid Black,Diesel,Automatic,133592.51,2023-12-08,2024-02-11,New Jersey,268.2,6,162.6,493
Rolls-Royce Ghost,Deep Blue Metallic,Diesel,Automatic,402006.82,2024-08-14,2024-11-11,New Jersey,333.3,6,144.7,567
Porsche Cayman GT4,Ultra Red,Diesel,Automatic,111046.62,2024-08-15,2024-10-09,Japan,244.3,6,166.0,432
Porsche Cayman GT4,Stealth Grey,Oil,Automatic,107614.51,2024-03-05,2024-04-23,South Korea,260.8,6,147.8,439
Nissan GT-R,Ultra Red,Diesel,Automatic,129133.83,2023-09-07,2023-10-29,China,278.4,6,142.8,540
Lamborghini Huracán,Solid Black,Oil,Automatic,252738.8,2023-09-16,2023-09-20,France,333.5,6,161.1,473
Porsche Cayman GT4,Deep Blue Metallic,Oil,Automatic,114203.93,2024-09-09,2024-09-20,France,254.7,6,160.9,444
Porsche 911,Deep Blue Metallic,Oil,Automatic,140530.9,2023-07-30,2023-09-25,New Jersey,317.7,6,146.5,591
BMW M8,Solid Black,Diesel,Automatic,138282.38,2023-09-05,2023-10-04,Connecticut,318.6,6,153.0,469
BMW M5 CS,Red Multi-Coat,Oil,Automatic,162961.96,2024-06-08,2024-06-15,Washington,305.2,6,165.2,584
Koenigsegg Jesko,Deep Blue Metallic,Diesel,Automatic,3308181.31,2024-11-30,2025-02-17,France,393.8,6,140.8,570
Bugatti Chiron,Pearl White,Diesel,Automatic,2633658.29,2024-07-28,2024-08-16,New Jersey,381.5,6,163.0,579
Range Rover Sport,Deep Blue Metallic,Diesel,Automatic,110405.87,2025-02-18,2025-03-27,Virginia,290.8,6,168.9,453
Pagani Huayra,Red Multi-Coat,Diesel,Automatic,2809046.15,2025-03-26,2025-04-12,Washington,342.3,6,140.6,444
Nissan GT-R,Red Multi-Coat,Oil,Automatic,132232.32,2023-12-19,2024-01-18,Washington,277.0,6,155.8,491
Bugatti Chiron,Stealth Grey,Oil,Automatic,2979833.02,2024-02-17,2024-04-16,Washington,385.5,6,164.4,615
Porsche Cayman GT4,Pearl White,Diesel,Automatic,117811.5,2023-10-23,2024-01-11,Massachusetts,267.5,6,147.3,447
Porsche 911,Solid Black,Diesel,Automatic,248281.82,2023-07-18,2023-08-14,France,288.7,6,153.5,477
McLaren 720S,Ultra Red,Diesel,Automatic,326504.08,2023-08-04,2023-11-02,Connecticut,335.0,6,162.1,593
Jaguar F-Type,Ultra Red,Oil,Automatic,79732.81,2024-07-23,2024-07-30,Nevada,283.0,6,156.7,514
Porsche 911,Red Multi-Coat,Diesel,Automatic,179200.19,2024-10-03,2024-10-26,Colorado,324.3,6,141.6,429
Porsche Cayman GT4,Midnight Silver Metallic,Diesel,Automatic,110507.11,2024-11-15,2024-11-21,China,253.1,6,149.8,498
Lexus LC 500,Pearl White,Oil,Automatic,113187.07,2024-07-06,2024-09-11,New York,282.8,6,166.9,490
Aston Martin Vantage,Deep Blue Metallic,Oil,Automatic,156478.27,2025-04-23,2025-05-28,Maryland,300.6,6,156.5,522
BMW M8,Deep Blue Metallic,Diesel,Automatic,141764.21,2024-12-22,2025-02-09,Colorado,295.6,6,141.4,565
Maserati Ghibli,Ultra Red,Diesel,Automatic,79171.23,2023-11-27,2024-01-08,Japan,271.6,6,150.4,479
Jaguar F-Type,Red Multi-Coat,Oil,Automatic,88297.64,2024-11-28,2025-01-21,Nevada,279.2,6,154.4,430
Jaguar F-Type,Midnight Silver Metallic,Oil,Automatic,91102.15,2024-03-16,2024-05-30,Connecticut,276.5,6,144.6,613
Porsche Cayman GT4,Stealth Grey,Diesel,Automatic,119685.68,2024-03-05,2024-04-17,Nevada,271.5,6,160.6,492
Aston Martin Vantage,Red Multi-Coat,Diesel,Automatic,153041.47,2024-11-09,2024-11-17,Maryland,293.2,6,145.6,601
Porsche Cayman GT4,Ultra Red,Oil,Automatic,118120.14,2024-10-31,2024-11-08,Nevada,257.8,6,148.7,432
Range Rover Sport,Stealth Grey,Diesel,Automatic,88755.4,2024-01-03,2024-01-17,Washington,280.7,6,164.2,590
Maserati Ghibli,Ultra Red,Oil,Automatic,85548.02,2023-10-25,2024-01-01,New Jersey,268.4,6,148.5,585
Aston Martin Vantage,Deep Blue Metallic,Oil,Automatic,153202.27,2024-08-19,2024-09-03,Maryland,286.9,6,166.2,550
Bugatti Chiron,Pearl White,Oil,Automatic,2822935.8,2023-08-04,2023-10-02,South Korea,406.1,6,148.3,593
Aston Martin Vantage,Pearl White,Diesel,Automatic,155746.34,2023-07-19,2023-09-24,France,287.4,6,142.2,487
Audi RS7,Ultra Red,Oil,Automatic,135017.48,2024-08-13,2024-10-17,Massachusetts,272.5,6,164.2,448
Maserati MC20,Pearl White,Oil,Automatic,230046.44,2024-05-12,2024-07-02,Maryland,328.4,6,166.1,439
BMW M5 CS,Midnight Silver Metallic,Diesel,Automatic,162599.69,2024-02-18,2024-05-01,Maryland,306.0,6,155.0,454
Aston Martin Vantage,Stealth Grey,Oil,Automatic,173126.21,2023-08-01,2023-09-02,Japan,283.1,6,165.3,477
Mercedes-AMG GT,Ultra Red,Oil,Automatic,139780.5,2024-04-17,2024-07-03,Nevada,306.3,6,162.8,548
Bentley Continental GT,Pearl White,Diesel,Automatic,235096.78,2024-04-28,2024-07-07,Colorado,290.5,6,152.9,564
Rolls-Royce Ghost,Stealth Grey,Diesel,Automatic,367813.03,2023-05-25,2023-07-26,China,345.7,6,163.8,442
Jaguar F-Type,Stealth Grey,Diesel,Automatic,77734.83,2023-12-11,2024-02-10,Maryland,279.8,6,148.8,636
Pagani Huayra,Ultra Red,Diesel,Automatic,2805127.57,2025-03-03,2025-04-16,Massachusetts,372.6,6,150.8,563
Ferrari SF90,Red Multi-Coat,Diesel,Automatic,501663.92,2024-02-05,2024-03-21,France,371.0,6,168.9,428
Lotus Emira,Red Multi-Coat,Diesel,Automatic,97529.59,2024-09-20,2024-11-19,France,270.3,6,147.4,542
Porsche Cayman GT4,Midnight Silver Metallic,Oil,Automatic,108199.06,2024-02-13,2024-03-16,Washington,265.1,6,162.5,615
Maserati Ghibli,Solid Black,Diesel,Automatic,94056.0,2023-08-05,2023-09-18,South Korea,256.2,6,153.5,504
Rolls-Royce Ghost,Ultra Red,Oil,Automatic,412178.67,2024-07-18,2024-08-10,German,362.2,6,150.1,628
Alpine A110,Deep Blue Metallic,Oil,Automatic,69698.18,2023-12-29,2024-01-26,Connecticut,190.6,6,144.3,628
Nissan GT-R,Pearl White,Oil,Automatic,141494.38,2023-05-30,2023-07-03,Massachusetts,300.7,6,163.9,483
Koenigsegg Jesko,Deep Blue Metallic,Diesel,Automatic,3081320.67,2024-10-19,2024-10-25,New York,341.5,6,146.6,615
Lamborghini Huracán,Red Multi-Coat,Diesel,Automatic,211133.93,2025-02-18,2025-03-16,New Jersey,307.5,6,142.9,601
McLaren 720S,Midnight Silver Metallic,Diesel,Automatic,309343.21,2023-08-13,2023-11-01,New York,319.0,6,165.3,461
Lamborghini Huracán,Solid Black,Diesel,Automatic,217879.23,2024-07-24,2024-08-15,Virginia,305.5,6,159.4,545
Ferrari SF90,Ultra Red,Oil,Automatic,545692.41,2023-11-23,2024-01-23,German,371.7,6,156.5,426
Porsche Cayman GT4,Deep Blue Metallic,Oil,Automatic,121091.93,2025-04-17,2025-05-20,Massachusetts,252.8,6,145.9,529
Rolls-Royce Ghost,Pearl White,Diesel,Automatic,372702.51,2023-06-23,2023-07-06,Virginia,377.5,6,158.5,616
BMW M8,Stealth Grey,Oil,Automatic,142475.39,2025-01-28,2025-03-15,Italy,335.9,6,140.8,637
Ferrari SF90,Red Multi-Coat,Diesel,Automatic,522098.95,2024-05-24,2024-05-30,German,367.3,6,150.0,614
BMW M8,Deep Blue Metallic,Diesel,Automatic,155443.65,2023-07-24,2023-07-30,South Korea,293.2,6,152.2,501
Alpine A110,Midnight Silver Metallic,Diesel,Automatic,69077.17,2025-02-12,2025-03-22,Maryland,188.3,6,153.0,558
Bugatti Chiron,Deep Blue Metallic,Oil,Automatic,3276260.51,2023-06-09,2023-08-26,German,418.7,6,146.3,534
Alpine A110,Red Multi-Coat,Oil,Automatic,65419.95,2023-11-27,2024-01-19,Massachusetts,210.0,6,142.1,494
Rolls-Royce Ghost,Pearl White,Oil,Automatic,393640.93,2023-06-14,2023-07-21,France,320.5,6,148.4,603
Jaguar F-Type,Ultra Red,Diesel,Automatic,77820.66,2023-11-17,2024-01-17,Japan,287.9,6,168.4,512
Porsche Cayman GT4,Ultra Red,Oil,Automatic,107831.11,2023-10-08,2023-11-27,Connecticut,275.4,6,141.8,575
Audi RS7,Ultra Red,Diesel,Automatic,142112.72,2025-01-21,2025-04-07,Massachusetts,285.8,6,159.5,574
McLaren 720S,Pearl White,Diesel,Automatic,321422.87,2023-07-06,2023-08-11,Colorado,336.9,6,144.3,646
Audi RS7,Red Multi-Coat,Diesel,Automatic,144188.1,2023-07-19,2023-07-31,China,285.4,6,151.0,569
Koenigsegg Jesko,Stealth Grey,Oil,Automatic,3341945.53,2023-12-10,2024-03-02,South Korea,370.3,6,166.8,562
Porsche 911,Solid Black,Oil,Automatic,219672.14,2025-02-17,2025-05-06,Virginia,306.2,6,150.8,510
Audi RS7,Red Multi-Coat,Diesel,Automatic,145036.8,2024-07-01,2024-08-29,Connecticut,284.5,6,151.5,641
Lamborghini Huracán,Deep Blue Metallic,Oil,Automatic,252918.01,2025-01-05,2025-02-15,Connecticut,312.4,6,156.4,596
Lotus Emira,Solid Black,Oil,Automatic,87181.26,2024-03-29,2024-04-27,South Korea,231.6,6,145.1,561
Range Rover Sport,Solid Black,Oil,Automatic,133425.32,2023-11-16,2024-01-16,Italy,295.0,6,164.3,459
Jaguar F-Type,Pearl White,Diesel,Automatic,89288.41,2024-05-25,2024-06-25,Japan,276.7,6,164.7,613
Audi RS e-tron GT,Red Multi-Coat,Oil,Automatic,178431.16,2024-07-07,2024-08-07,Nevada,375.2,6,142.1,453
Maserati MC20,Red Multi-Coat,Diesel,Automatic,272065.89,2023-12-13,2024-03-09,German,328.8,6,152.3,643
BMW M5 CS,Deep Blue Metallic,Oil,Automatic,144506.91,2023-05-26,2023-08-22,Washington,303.1,6,140.3,625
Bentley Continental GT,Ultra Red,Diesel,Automatic,236017.64,2024-01-06,2024-01-08,Virginia,295.9,6,165.8,463
Bentley Continental GT,Solid Black,Diesel,Automatic,229321.49,2024-05-21,2024-08-14,Colorado,282.2,6,167.0,622
Jaguar F-Type,Deep Blue Metallic,Oil,Automatic,89870.98,2024-09-30,2024-11-01,Virginia,282.1,6,141.9,429
Alpine A110,Solid Black,Oil,Automatic,81864.84,2024-04-23,2024-06-13,Nevada,205.0,6,161.7,640
Lexus LC 500,Ultra Red,Oil,Automatic,97028.63,2024-11-06,2025-01-23,Japan,308.9,6,145.0,501
BMW M5 CS,Red Multi-Coat,Diesel,Automatic,161212.72,2024-08-20,2024-11-04,France,296.1,6,147.3,612
Audi RS e-tron GT,Solid Black,Diesel,Automatic,176108.66,2023-08-01,2023-10-20,Nevada,332.5,6,159.5,549
Maserati Ghibli,Solid Black,Diesel,Automatic,93437.48,2024-06-15,2024-07-11,Virginia,286.3,6,166.1,631
Porsche Cayman GT4,Deep Blue Metallic,Oil,Automatic,105828.81,2024-11-11,2024-11-21,Virginia,277.7,6,148.0,649
Bentley Continental GT,Stealth Grey,Oil,Automatic,255867.26,2023-08-06,2023-10-18,China,306.7,6,141.4,627
BMW M5 CS,Stealth Grey,Oil,Automatic,141280.02,2023-10-07,2023-10-19,Virginia,278.6,6,150.7,603
Maserati Ghibli,Solid Black,Diesel,Automatic,77206.92,2024-04-27,2024-06-02,German,285.0,6,144.8,489
Koenigsegg Jesko,Solid Black,Oil,Automatic,3207270.38,2025-05-22,2025-06-12,Massachusetts,384.1,6,161.4,467
Porsche Cayman GT4,Red Multi-Coat,Diesel,Automatic,121908.31,2024-12-29,2025-03-06,China,266.7,6,147.0,559
Lexus LC 500,Midnight Silver Metallic,Diesel,Automatic,116607.05,2024-01-10,2024-03-31,Colorado,285.7,6,166.4,575
Alpine A110,Midnight Silver Metallic,Oil,Automatic,75145.09,2023-06-05,2023-08-10,Connecticut,202.2,6,162.7,632
Rolls-Royce Ghost,Ultra Red,Oil,Automatic,396300.33,2024-08-19,2024-09-04,France,344.7,6,148.8,509
Ferrari SF90,Deep Blue Metallic,Oil,Automatic,548586.4,2025-02-18,2025-03-22,China,360.5,6,158.7,481
BMW M8,Ultra Red,Oil,Automatic,136939.75,2024-01-24,2024-03-22,France,320.7,6,163.3,490
Audi RS7,Ultra Red,Diesel,Automatic,130453.58,2024-12-16,2025-01-04,Colorado,302.6,6,143.4,520
Audi RS7,Red Multi-Coat,Diesel,Automatic,145370.77,2024-03-03,2024-05-13,France,302.3,6,160.4,429
Maserati Ghibli,Stealth Grey,Diesel,Automatic,77489.4,2025-03-01,2025-04-23,Massachusetts,261.8,6,154.9,518
Bugatti Chiron,Deep Blue Metallic,Oil,Automatic,3177683.06,2023-12-16,2024-01-17,New Jersey,353.8,6,144.5,588
Aston Martin DBS,Ultra Red,Oil,Automatic,379562.09,2024-07-05,2024-08-27,China,292.3,6,147.0,429
Bentley Continental GT,Deep Blue Metallic,Diesel,Automatic,228165.93,2024-01-27,2024-04-24,New York,287.8,6,156.0,504
Maserati Ghibli,Pearl White,Diesel,Automatic,93618.37,2024-11-09,2025-02-04,New Jersey,277.2,6,168.5,472
Mercedes-AMG GT,Red Multi-Coat,Oil,Automatic,124052.47,2023-12-13,2023-12-16,South Korea,293.1,6,164.6,553
Range Rover Sport,Deep Blue Metallic,Oil,Automatic,126667.7,2023-09-16,2023-10-24,Colorado,256.8,6,145.9,487
Aston Martin DBS,Midnight Silver Metallic,Diesel,Automatic,333451.23,2023-06-15,2023-08-06,Virginia,315.3,6,162.0,525
Lotus Emira,Red Multi-Coat,Diesel,Automatic,94037.53,2024-05-31,2024-07-25,New Jersey,273.2,6,166.3,589
Ferrari SF90,Red Multi-Coat,Oil,Automatic,468651.09,2024-04-01,2024-05-30,Italy,363.0,6,163.3,616
Porsche 911,Pearl White,Diesel,Automatic,192383.06,2023-07-21,2023-10-11,Massachusetts,280.7,6,157.8,509
Bentley Continental GT,Ultra Red,Diesel,Automatic,221505.77,2024-11-18,2025-01-10,France,322.5,6,161.0,542
Pagani Huayra,Stealth Grey,Oil,Automatic,3071714.2,2025-04-03,2025-04-17,Massachusetts,369.0,6,149.3,521
Aston Martin Vantage,Midnight Silver Metallic,Oil,Automatic,176043.36,2024-09-27,2024-11-29,Washington,288.3,6,143.6,468
Pagani Huayra,Deep Blue Metallic,Diesel,Automatic,2998526.38,2023-07-05,2023-07-16,China,377.0,6,163.4,550
Jaguar F-Type,Solid Black,Oil,Automatic,81140.82,2023-05-30,2023-06-23,Japan,271.3,6,151.6,606
Maserati MC20,Solid Black,Diesel,Automatic,257844.03,2024-03-25,2024-04-03,Italy,343.0,6,164.6,500
Ferrari SF90,Pearl White,Oil,Automatic,522649.43,2025-02-21,2025-04-18,German,363.5,6,144.6,611
Bugatti Chiron,Solid Black,Oil,Automatic,2985269.03,2023-06-07,2023-06-25,Virginia,352.3,6,147.7,559
BMW M5 CS,Pearl White,Oil,Automatic,158916.81,2024-06-06,2024-08-24,Massachusetts,305.8,6,153.6,603
Maserati Ghibli,Solid Black,Diesel,Automatic,80374.39,2024-12-27,2025-02-22,Nevada,282.6,6,155.7,552
Porsche Cayman GT4,Deep Blue Metallic,Diesel,Automatic,112864.85,2023-07-14,2023-08-09,South Korea,279.8,6,168.9,446
Maserati MC20,Pearl White,Diesel,Automatic,264751.67,2023-12-20,2024-03-18,Nevada,365.5,6,165.1,425
Audi RS7,Solid Black,Oil,Automatic,149026.07,2024-01-03,2024-01-29,Virginia,297.8,6,146.3,446
Maserati Ghibli,Red Multi-Coat,Diesel,Automatic,94978.08,2024-11-16,2024-12-05,German,257.8,6,155.0,553
Ferrari SF90,Pearl White,Oil,Automatic,489890.25,2024-12-10,2025-02-14,Connecticut,340.8,6,147.3,549
Porsche Cayman GT4,Red Multi-Coat,Oil,Automatic,108746.25,2024-11-15,2025-02-11,Italy,263.0,6,155.8,594
BMW M8,Midnight Silver Metallic,Oil,Automatic,136708.07,2024-07-07,2024-09-05,Colorado,343.4,6,141.1,621
Ferrari SF90,Midnight Silver Metallic,Oil,Automatic,532837.77,2025-03-08,2025-05-04,German,344.7,6,165.9,584
Lamborghini Huracán,Ultra Red,Diesel,Automatic,288138.13,2025-02-12,2025-04-04,Connecticut,295.6,6,147.7,528
Lamborghini Huracán,Solid Black,Diesel,Automatic,285590.3,2023-09-22,2023-12-02,South Korea,321.1,6,149.5,432
Bugatti Chiron,Deep Blue Metallic,Oil,Automatic,3329641.69,2025-05-12,2025-07-02,South Korea,396.6,6,164.6,500
Lamborghini Huracán,Red Multi-Coat,Diesel,Automatic,264953.84,2024-03-05,2024-03-14,Maryland,321.0,6,164.7,537
Audi RS e-tron GT,Solid Black,Oil,Automatic,179497.6,2023-07-03,2023-09-02,Maryland,368.5,6,165.5,433
McLaren 720S,Midnight Silver Metallic,Diesel,Automatic,313526.01,2023-07-03,2023-09-12,Virginia,303.6,6,146.8,536
